Unnamed: 0,path,label,youtube title,youtube url,video_num,file_id,Youtube title,Start_time,End_time,Label,url
0,training/398/0.wav,3,"US Army, NATO. Powerful M1A2 Abrams and TR-85 tanks conduct live firing.",https://www.youtube.com/watch?v=Oh4q6ck6ufc&t=1s,398,0,"US Army, NATO. Powerful M1A2 Abrams and TR-85 tanks conduct live firing.",72,74,3,https://www.youtube.com/watch?v=Oh4q6ck6ufc&t=1s
1,training/398/1.wav,3,"US Army, NATO. Powerful M1A2 Abrams and TR-85 tanks conduct live firing.",https://www.youtube.com/watch?v=Oh4q6ck6ufc&t=1s,398,1,"US Army, NATO. Powerful M1A2 Abrams and TR-85 tanks conduct live firing.",74,77,3,https://www.youtube.com/watch?v=Oh4q6ck6ufc&t=1s
2,training/398/2.wav,3,"US Army, NATO. Powerful M1A2 Abrams and TR-85 tanks conduct live firing.",https://www.youtube.com/watch?v=Oh4q6ck6ufc&t=1s,398,2,"US Army, NATO. Powerful M1A2 Abrams and TR-85 tanks conduct live firing.",90,92,3,https://www.youtube.com/watch?v=Oh4q6ck6ufc&t=1s
3,training/398/3.wav,3,"US Army, NATO. Powerful M1A2 Abrams and TR-85 tanks conduct live firing.",https://www.youtube.com/watch?v=Oh4q6ck6ufc&t=1s,398,3,"US Army, NATO. Powerful M1A2 Abrams and TR-85 tanks conduct live firing.",97,100,3,https://www.youtube.com/watch?v=Oh4q6ck6ufc&t=1s
4,training/398/4.wav,3,"US Army, NATO. Powerful M1A2 Abrams and TR-85 tanks conduct live firing.",https://www.youtube.com/watch?v=Oh4q6ck6ufc&t=1s,398,4,"US Army, NATO. Powerful M1A2 Abrams and TR-85 tanks conduct live firing.",111,114,3,https://www.youtube.com/watch?v=Oh4q6ck6ufc&t=1s
5,training/398/5.wav,3,"US Army, NATO. Powerful M1A2 Abrams and TR-85 tanks conduct live firing.",https://www.youtube.com/watch?v=Oh4q6ck6ufc&t=1s,398,5,"US Army, NATO. Powerful M1A2 Abrams and TR-85 tanks conduct live firing.",137,146,3,https://www.youtube.com/watch?v=Oh4q6ck6ufc&t=1s
6,training/398/6.wav,4,"US Army, NATO. Powerful M1A2 Abrams and TR-85 tanks conduct live firing.",https://www.youtube.com/watch?v=Oh4q6ck6ufc&t=1s,398,6,"US Army, NATO. Powerful M1A2 Abrams and TR-85 tanks conduct live firing.",217,223,4,https://www.youtube.com/watch?v=Oh4q6ck6ufc&t=1s
7,training/398/7.wav,4,"US Army, NATO. Powerful M1A2 Abrams and TR-85 tanks conduct live firing.",https://www.youtube.com/watch?v=Oh4q6ck6ufc&t=1s,398,7,"US Army, NATO. Powerful M1A2 Abrams and TR-85 tanks conduct live firing.",225,231,4,https://www.youtube.com/watch?v=Oh4q6ck6ufc&t=1s
8,training/398/8.wav,4,"US Army, NATO. Powerful M1A2 Abrams and TR-85 tanks conduct live firing.",https://www.youtube.com/watch?v=Oh4q6ck6ufc&t=1s,398,8,"US Army, NATO. Powerful M1A2 Abrams and TR-85 tanks conduct live firing.",243,246,4,https://www.youtube.com/watch?v=Oh4q6ck6ufc&t=1s
9,training/088/0.wav,0,*RAW* Marine Scout Snipers Shoot Enemy during Operation Helmand Viper in Afghanistan,https://www.youtube.com/watch?v=FsDPxAQdd30,88,0,*RAW* Marine Scout Snipers Shoot Enemy during Operation Helmand Viper in Afghanistan,4,12,0,https://www.youtube.com/watch?v=FsDPxAQdd30
10,training/088/1.wav,0,*RAW* Marine Scout Snipers Shoot Enemy during Operation Helmand Viper in Afghanistan,https://www.youtube.com/watch?v=FsDPxAQdd30,88,1,*RAW* Marine Scout Snipers Shoot Enemy during Operation Helmand Viper in Afghanistan,13,22,0,https://www.youtube.com/watch?v=FsDPxAQdd30
11,training/088/10.wav,0,*RAW* Marine Scout Snipers Shoot Enemy during Operation Helmand Viper in Afghanistan,https://www.youtube.com/watch?v=FsDPxAQdd30,88,10,*RAW* Marine Scout Snipers Shoot Enemy during Operation Helmand Viper in Afghanistan,411,420,0,https://www.youtube.com/watch?v=FsDPxAQdd30
12,training/088/11.wav,0,*RAW* Marine Scout Snipers Shoot Enemy during Operation Helmand Viper in Afghanistan,https://www.youtube.com/watch?v=FsDPxAQdd30,88,11,*RAW* Marine Scout Snipers Shoot Enemy during Operation Helmand Viper in Afghanistan,429,438,0,https://www.youtube.com/watch?v=FsDPxAQdd30
13,training/088/2.wav,2,*RAW* Marine Scout Snipers Shoot Enemy during Operation Helmand Viper in Afghanistan,https://www.youtube.com/watch?v=FsDPxAQdd30,88,2,*RAW* Marine Scout Snipers Shoot Enemy during Operation Helmand Viper in Afghanistan,148,157,0,https://www.youtube.com/watch?v=FsDPxAQdd30
14,training/088/3.wav,0,*RAW* Marine Scout Snipers Shoot Enemy during Operation Helmand Viper in Afghanistan,https://www.youtube.com/watch?v=FsDPxAQdd30,88,3,*RAW* Marine Scout Snipers Shoot Enemy during Operation Helmand Viper in Afghanistan,162,171,0,https://www.youtube.com/watch?v=FsDPxAQdd30
